filename,pred_x,pred_y,true_x,true_y,distance
basset_hound_60.jpg,127.1220,101.0889,141.1940,103.9277,14.3554
beagle_154.jpg,92.0085,68.3874,110.7651,76.7260,20.5266
beagle_89.jpg,104.3552,75.6231,126.2120,96.7988,30.4324
beagle_93.jpg,101.5132,121.5390,98.9720,151.3333,29.9025
Bengal_144.jpg,80.1077,90.6479,81.7200,78.6933,12.0628
Bengal_21.jpg,83.2965,128.7388,35.4120,139.0631,48.9848
Birman_170.jpg,113.3403,110.2394,124.3960,125.1235,18.5409
Birman_96.jpg,108.4170,127.1628,113.9540,161.5586,34.8386
Bombay_6.jpg,84.6863,76.8116,92.3133,96.0021,20.6506
British_Shorthair_200.jpg,98.9790,85.6676,123.9420,95.0392,26.6642
Egyptian_Mau_157.jpg,100.3651,69.4084,130.0091,85.8060,33.8769
english_cocker_spaniel_174.jpg,97.1437,71.4637,123.8182,43.1300,38.9144
german_shorthaired_19.jpg,130.5987,72.2900,191.1340,93.8267,64.2522
great_pyrenees_75.jpg,117.7208,71.8971,187.0480,39.9520,76.3331
havanese_93.jpg,96.9670,90.8955,111.2300,102.9067,18.6467
japanese_chin_166.jpg,95.9914,81.8897,126.6660,86.5627,31.0285
japanese_chin_57.jpg,81.6479,91.4200,102.6040,109.5653,27.7202
japanese_chin_98.jpg,67.0568,100.0075,85.3520,100.0680,18.2953
leonberger_21.jpg,53.8297,80.0605,39.9520,90.2611,17.2234
Maine_Coon_107.jpg,108.4445,72.1149,130.2980,70.8949,21.8875
Maine_Coon_119.jpg,121.7189,87.2011,146.1880,77.7117,26.2447
Maine_Coon_71.jpg,63.8872,74.4114,71.7320,90.6637,18.0466
miniature_pinscher_137.jpg,79.8759,85.3359,100.2583,111.9867,33.5515
miniature_pinscher_64.jpg,105.7859,100.2126,123.9420,155.4234,58.1195
newfoundland_153.jpg,104.4557,104.5566,102.1500,182.6907,78.1681
Persian_11.jpg,102.4320,78.3674,125.9093,100.3340,32.1514
pomeranian_123.jpg,99.6689,98.6144,122.5800,112.9956,27.0506
pomeranian_55.jpg,80.6245,94.8730,93.5240,111.4488,21.0037
pug_202.jpg,79.3171,69.9050,100.2487,80.2067,23.3293
Russian_Blue_149.jpg,118.2743,106.1444,127.5740,148.3067,43.1757
Russian_Blue_184.jpg,121.4653,110.0420,163.8940,102.6561,43.0668
Russian_Blue_203.jpg,84.9761,102.1414,108.0520,133.1733,38.6714
samoyed_121.jpg,97.1556,91.6701,113.9540,104.9875,21.4369
samoyed_188.jpg,86.5974,86.0184,92.0107,100.7880,15.7304
scottish_terrier_109.jpg,61.7321,83.5336,166.6180,179.7840,142.3559
shiba_inu_187.jpg,127.6755,80.6465,127.4745,52.2100,28.4372
